Group.Id	Subset	Type	replicate_id	successes	totals	mu	sigma	alpha0	beta0	alpha1	beta1	lower	observed_p	estimated_p	upper	hdi_range
1	NoHRbed	*	INDEL	.aggregate	340114	355325	0.957191303736016	NA	0.5	0.5	1000	44.724644200703	0.944621470867498	0.957191303736016	0.957190017054761	0.968911880495246	0.024290409627748
2	NoHRbed	*	SNV	.aggregate	2951392	2951620	0.999922754284088	NA	0.5	0.5	1000	0.0774210817436176	0.999560365581613	0.999922754284088	0.999922584911816	1	0.00043963441838657
3	NoHRbed	alldifficultregions	INDEL	.aggregate	202273	217282	0.930923868521092	NA	0.5	0.5	1000	74.2039861870191	0.915474014977897	0.930923868521092	0.930921885283248	0.945738782886165	0.0302647679082677
4	NoHRbed	alldifficultregions	SNV	.aggregate	367235	367296	0.999833921414881	NA	0.5	0.5	1000	0.167467469784375	0.999089281246347	0.999833921414881	0.999832560570873	1	0.000910718753652784
5	NoHRbed	alllowmapandsegdupregions	INDEL	.aggregate	2069	2089	0.990426041168023	NA	0.5	0.5	1000	9.90577434162841	0.983971237477407	0.990426041168023	0.990191387559809	0.995722659324017	0.0117514218466095
6	NoHRbed	alllowmapandsegdupregions	SNV	.aggregate	52933	52951	0.999660063077185	NA	0.5	0.5	1000	0.349495121237024	0.998477703062628	0.999660063077185	0.999650626982928	1	0.00152229693737227
7	NoHRbed	notinalldifficultregions	INDEL	.aggregate	137824	138025	0.998543742075711	NA	0.5	0.5	1000	1.46200421550595	0.996185276634714	0.998543742075711	0.998540130120412	0.999997445224698	0.00381216858998401
8	NoHRbed	notinalldifficultregions	SNV	.aggregate	2584157	2584324	0.999935379619583	NA	0.5	0.5	1000	0.0648180306347427	0.999632290574149	0.999935379619583	0.99993518617047	1	0.000367709425850848
9	NoHRbed	notinalllowmapandsegdupregions	INDEL	.aggregate	337898	353084	0.956990404549626	NA	0.5	0.5	1000	44.9439698607718	0.944722738000621	0.956990404549626	0.956989110270898	0.96902581084171	0.0243030728410885
10	NoHRbed	notinalllowmapandsegdupregions	SNV	.aggregate	2898459	2898669	0.999927552956202	NA	0.5	0.5	1000	0.0726247856835674	0.999584770090178	0.999927552956202	0.999927380488293	1	0.000415229909821901
11	NoHRbed	SimpleRepeat_homopolymer_gt11_slop5	INDEL	.aggregate	45213	54294	0.832743949607691	NA	0.5	0.5	1000	200.858150773552	0.81152044149256	0.832743949607691	0.83273782116217	0.853614272378056	0.042093830885496
12	NoHRbed	SimpleRepeat_homopolymer_gt11_slop5	SNV	.aggregate	7045	7048	0.999574347332577	NA	0.5	0.5	1000	0.496770988574267	0.998103540618416	0.999574347332577	0.999503475670308	0.999999999999808	0.00189645938139182
