Group.Id	Subset	Type	replicate_id	successes	totals	mu	sigma	alpha0	beta0	alpha1	beta1	lower	observed_p	estimated_p	upper	hdi_range
1	HRbed	*	INDEL	.aggregate	334423	350543	0.954014200825576	NA	0.5	0.5	1000	48.2038493108289	0.941124544925113	0.954014200825576	0.95401290565521	0.966353574880458	0.0252290299553454
2	HRbed	*	SNV	.aggregate	2951349	2953438	0.999292688724124	NA	0.5	0.5	1000	0.707981213339864	0.997612077695885	0.999292688724124	0.999292519669443	0.999999999726996	0.00238792203111027
3	HRbed	alldifficultregions	INDEL	.aggregate	196668	212553	0.925265698437566	NA	0.5	0.5	1000	80.7729758451404	0.909456024938405	0.925265698437566	0.925263697695644	0.940679614658856	0.0312235897204518
4	HRbed	alldifficultregions	SNV	.aggregate	367192	368565	0.996274741226107	NA	0.5	0.5	1000	3.74054480960259	0.992477230578923	0.996274741226107	0.996273394724418	0.999406642287221	0.00692941170829797
5	HRbed	alllowmapandsegdupregions	INDEL	.aggregate	2066	2200	0.939090909090909	NA	0.5	0.5	1000	65.0858940237116	0.924375107109188	0.939090909090909	0.938891412994094	0.952969980428022	0.0285948733188346
6	HRbed	alllowmapandsegdupregions	SNV	.aggregate	52933	53941	0.981312915963738	NA	0.5	0.5	1000	19.0522070144615	0.972835633551154	0.981312915963738	0.981303993177858	0.989254147572187	0.0164185140210328
7	HRbed	notinalldifficultregions	INDEL	.aggregate	137746	137983	0.99828239710689	NA	0.5	0.5	1000	1.72418173964493	0.995716556461807	0.99828239710689	0.998278785946197	0.999987787022368	0.00427123056056122
8	HRbed	notinalldifficultregions	SNV	.aggregate	2584157	2584873	0.999723003799413	NA	0.5	0.5	1000	0.27726638178981	0.998701362073325	0.999723003799413	0.999722810473547	1	0.00129863792667495
9	HRbed	notinalllowmapandsegdupregions	INDEL	.aggregate	332207	348189	0.954099641286772	NA	0.5	0.5	1000	48.1099914962787	0.941421863813237	0.954099641286772	0.954098337114794	0.966599576206379	0.0251777123931427
10	HRbed	notinalllowmapandsegdupregions	SNV	.aggregate	2898416	2899497	0.999627176713754	NA	0.5	0.5	1000	0.373134778938776	0.998418050112123	0.999627176713754	0.999627004398693	1	0.00158194988787663
11	HRbed	SimpleRepeat_homopolymer_gt11_slop5	INDEL	.aggregate	43823	53253	0.822920774416465	NA	0.5	0.5	1000	215.192761874337	0.801750818232728	0.822920774416465	0.822914710632065	0.844587550629528	0.0428367323968002
12	HRbed	SimpleRepeat_homopolymer_gt11_slop5	SNV	.aggregate	7043	7074	0.99561775515974	NA	0.5	0.5	1000	4.47220841910982	0.991431497911341	0.99561775515974	0.995547703180212	0.999073029691376	0.00764153178003435
13	NoHRbed	*	INDEL	.aggregate	334642	478793	0.698928346905657	NA	0.5	0.5	1000	430.762679575965	0.674753906936837	0.698928346905657	0.698927931427712	0.722285024064284	0.0475311171274467
14	NoHRbed	*	SNV	.aggregate	2951349	3232581	0.913000787915291	NA	0.5	0.5	1000	95.2894599572162	0.896667117260824	0.913000787915291	0.913000660153401	0.929753441476208	0.0330863242153846
15	NoHRbed	alldifficultregions	INDEL	.aggregate	196810	327070	0.601736631302168	NA	0.5	0.5	1000	661.857472035283	0.577719716196916	0.601736631302168	0.601736320248509	0.62491218793029	0.0471924717333743
16	NoHRbed	alldifficultregions	SNV	.aggregate	367192	570638	0.643476249391033	NA	0.5	0.5	1000	554.059519189526	0.619762596236376	0.643476249391033	0.643475997960182	0.667550216040512	0.0477876198041364
17	NoHRbed	alllowmapandsegdupregions	INDEL	.aggregate	2059	12405	0.165981459089077	NA	0.5	0.5	1000	5023.79218256858	0.15675354652776	0.165981459089077	0.166008383040464	0.175476077223967	0.0187225306962077
18	NoHRbed	alllowmapandsegdupregions	SNV	.aggregate	52933	227654	0.232515132613528	NA	0.5	0.5	1000	3300.77361217377	0.220239298742352	0.232515132613528	0.232516307570666	0.245425749184714	0.0251864504423622
19	NoHRbed	notinalldifficultregions	INDEL	.aggregate	137815	151865	0.90748362032068	NA	0.5	0.5	1000	101.951522143736	0.89013621703372	0.90748362032068	0.907480937141954	0.924292345145155	0.0341561281114351
20	NoHRbed	notinalldifficultregions	SNV	.aggregate	2584157	2661943	0.970778487743727	NA	0.5	0.5	1000	30.1012999401159	0.960568287338038	0.970778487743727	0.970778310888584	0.981023326101576	0.0204550387635387
21	NoHRbed	notinalllowmapandsegdupregions	INDEL	.aggregate	332434	466253	0.712990586655743	NA	0.5	0.5	1000	402.543959787567	0.688682077702805	0.712990586655743	0.71299012984339	0.736182139859916	0.047500062157111
22	NoHRbed	notinalllowmapandsegdupregions	SNV	.aggregate	2898416	3004927	0.964554546582995	NA	0.5	0.5	1000	36.748169215846	0.953012498581034	0.964554546582995	0.964554391985432	0.97526363165308	0.0222511330720458
23	NoHRbed	SimpleRepeat_homopolymer_gt11_slop5	INDEL	.aggregate	43850	100419	0.436670351228353	NA	0.5	0.5	1000	1290.05370520291	0.416591674753211	0.436670351228353	0.43667098187612	0.457332512036195	0.0407408372829838
24	NoHRbed	SimpleRepeat_homopolymer_gt11_slop5	SNV	.aggregate	7043	10747	0.65534567786359	NA	0.5	0.5	1000	525.945907574359	0.631497849248012	0.65534567786359	0.655331224413844	0.679173450843052	0.0476756015950404
